Winner,White_Weighted_Value,Black_Weighted_Value,White_Centre_Weighted_Value,Black_Centre_Weighted_Value,White_King_Safety,Black_King_Safety,White_Piece_Count,Black_Piece_Count,White_Center_Piece_Count,Black_Center_Piece_Count,White_Opponent_Moves,Black_Opponent_Moves,White_Rook_Positions,White_Queen_Positions,White_Knight_Positions,White_King_Positions,White_Bishop_Positions,Black_Rook_Positions,Black_Queen_Positions,Black_Knight_Positions,Black_King_Positions,Black_Bishop_Positions
White,9,8,6,3,Y,N,8,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,22,3,5,N,Y,12,13,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,17,3,3,N,Y,8,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
White,14,15,4,3,Y,N,7,9,1,2,0,0,0,9,0,20,0,20,9,9,20,0
White,8,8,0,4,Y,N,5,6,0,2,0,0,0,0,0,10,0,10,0,0,0,0
White,6,5,1,2,Y,N,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,6,7,4,5,Y,N,5,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0
White,14,14,3,6,Y,N,9,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,18,18,7,2,Y,N,11,11,4,2,0,0,0,7,0,0,0,14,0,0,7,0
White,24,24,9,4,Y,N,14,14,5,3,1,0,4,0,4,3,3,8,3,6,5,2
Black,11,12,6,1,N,Y,6,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
White,14,12,5,1,Y,N,8,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,4,6,0,0,N,Y,4,4,0,0,3,0,0,0,0,0,0,3,0,0,0,0
White,19,19,2,1,Y,N,10,11,2,1,0,0,3,4,6,0,3,17,6,0,10,6
Black,20,20,4,10,N,Y,12,12,3,5,0,0,0,0,0,0,0,0,0,0,0,0
White,26,25,7,6,Y,N,15,14,4,3,2,0,2,2,8,0,6,14,8,9,6,8
Black,19,19,5,2,N,N,11,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0
White,17,15,1,3,Y,N,11,10,1,2,0,0,4,0,10,0,0,12,0,2,12,2
Black,12,14,1,2,N,Y,8,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
White,22,22,3,8,Y,N,13,13,2,5,3,0,0,3,21,0,0,21,12,0,9,12
Black,15,16,1,7,N,Y,10,11,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,16,3,5,N,Y,7,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,24,24,3,8,N,Y,14,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0
White,12,13,3,3,Y,N,8,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,17,3,1,N,Y,11,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,23,7,5,N,Y,13,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,16,18,4,2,N,Y,9,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,22,22,6,2,N,Y,13,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0
White,9,9,3,1,Y,N,7,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,8,11,2,2,N,Y,6,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,5,5,2,1,N,Y,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0
White,7,5,1,1,Y,N,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,6,7,0,0,N,Y,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,19,5,3,N,Y,12,12,4,3,0,0,0,0,0,0,0,0,0,0,0,0
White,23,18,1,10,Y,N,13,11,1,5,1,0,1,2,1,0,0,0,1,4,3,6
Black,7,8,3,6,N,Y,5,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,18,2,5,N,Y,12,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,18,20,5,7,N,Y,10,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,17,17,2,0,N,Y,10,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,21,22,7,3,N,Y,12,13,4,3,0,0,0,0,0,0,0,0,0,0,0,0
Black,23,24,7,9,N,Y,13,14,3,4,0,0,0,0,0,0,0,0,0,0,0,0
Black,13,16,0,2,N,Y,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0
White,16,17,6,6,Y,N,10,11,3,4,0,0,0,0,7,0,0,22,0,7,11,7
Black,15,17,0,4,N,Y,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,19,18,6,7,N,Y,11,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,8,7,2,4,Y,N,6,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0
White,4,5,0,3,Y,N,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Black,5,6,3,0,N,Y,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Black,14,14,4,2,N,Y,8,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Black,20,21,2,3,N,Y,12,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0
